일별가격,월별가격,공유오피스명,주소 ,경도,위도,구,구별사업체개수,좌석타입,재고,최소수용가능인원,최대수용가능인원,공공자전거_최단거리,대학교_최단거리,버스정류장_최단거리,스타벅스_최단거리,대형마트_최단거리,버스_개수,대학교_개수,스타벅스_개수,지하철_개수,대형마트_개수
,165000,신도림 비즈온센터 코워킹,서울특별시 영등포구 경인로 706,126.8925641,37.51099797,영등포구,"42,589",고정석/자유석,12,1,8,6779.859758,2.857397572,0.031165642,0.393239372,0.370395025,136,0,5,3,8
11000,110000,코쿤피스 신논현역센터-코워킹,서울특별시 서초구 사평대로 335,127.0197431,37.50343753,서초구 ,"46,540",고정석/자유석,20,1,20,6785.419074,0.971541663,0.038182436,0.412055727,0.862504039,127,1,19,7,1
,275000,홍대공유사무실(프리스타일),서울특별시 마포구 월드컵북로1길  26-8 ,126.9196093,37.55496993,마포구 ,"37,232",고정석 ,8,1,8,6783.796178,0.804740319,0.051226602,0.079293388,0.616969125,153,1,13,6,4
10000,200000,플렉스홈 소호오피스 서울,서울특별시 마포구 희우정로10길 28,126.9054838,37.55314202,마포구 ,"37,232",고정석/자유석,1,1,1,6783.017227,2.340476894,0.060694772,0.608920593,0.980571486,94,0,4,4,1
16500,275000,모아 코워킹스페이스(홍대),서울특별시 서대문구 연희로2길 76,126.9275911,37.55921485,서대문구,"19,796",고정석/자유석,70,1,70,6784.430603,0.542184833,0.038554149,0.287724926,0.139437962,168,1,11,5,7
,140000,함께하는 행복한 공간 Sky Z,서울특별시 광진구 능동로36길 109,127.0849303,37.55438359,광진구 ,"24,535",고정석/자유석,2,1,2,6791.597612,1.085830026,0.030587264,0.611378358,0.681799894,115,0,4,4,2
10000,110000,한승공간 역삼코워킹스페이스 1인실,서울특별시 강남구 역삼동 736-32,127.034955,37.49907292,강남구 ,"71,373",고정석/자유석,10,1,10,6785.875163,1.272870557,0.053924015,0.044959756,0.943343419,108,0,25,4,1
,385000,CnG공유오피스-비즈니스 센터 ,서울특별시 강서구 양천로 344,126.8403596,37.5682666,강서구 ,"38,524",고정석/자유석,10,1,10,6780.850314,1.242897009,0.053497112,0.088594989,0.555801716,77,0,5,2,2
10000,150000,슈가맨워크 가산디지털점 자유석,서울특별시 금천구 서부샛길 606,126.8765153,37.47935571,금천구 ,"32,472",자유석 ,1,1,10,6777.189925,1.722936092,0.241978592,0.472357738,0.902906004,72,0,5,3,2
,385000,넥스트데이 서초 공유오피스 고정석,서울특별시 서초구 반포대로28길 94,127.0133497,37.49194266,서초구 ,"46,540",고정석 ,1,1,1,6784.420079,0.339662354,0.052710123,0.10237924,0.60113947,118,1,12,5,2
,308000,로프 압구정 [지정석 1인],서울특별시 강남구 압구정로30길 72,127.0288233,37.52265947,강남구 ,"71,373",고정석 ,10,1,5,6787.013628,0.454341601,0.067227672,0.025817035,0.349322743,49,1,14,2,1
,200000,5호선 오목교역 현대41타워,서울특별시 양천구 목동 917-9,126.8757882,37.52816507,양천구 ,"26,126",고정석 ,5,1,2,6780.104019,2.054032736,0.076710332,0.069773158,0.069773158,90,0,10,1,7
,275000,력셔리 프라이빗룸 1인석,서울특별시 서초구 사평대로 368,127.0235176,37.5037874,서초구 ,"46,540",고정석 ,3,1,4,6785.619037,1.20792405,0.062377912,0.065872017,1.282592626,121,0,21,6,0
33000,825000,펜타725 청담,서울특별시 강남구 영동대로 725,127.0551544,37.52247658,강남구 ,"71,373",고정석/자유석,107,1,8,6788.250699,2.411171998,0.024602972,0.146383442,0.674875963,45,0,10,3,3
